query	class
list all my recommended event in Chennai on Monday	1
SCALA corporates in london on thursday	1
UX training in Chennai for this month	1
best practice on next tuesday	0
java celebrations in london today	1
SCALA workshops I am organizing From 17th April and 1st of May	1
my project events I am participating for this month	1
what are all my upcoming workshops in bangalore From 17th April and 1st of May	1
scala lessons learnts tomorrow	0
java conference in mumbai on this Saturday	1
.net expert with 2-7 years of experience	0
training available in scala tomorrow	0
white papers on Monday	0
java celebrations I am participating on this Saturday	1
java best practices today	0
UI celebration in london on wednesday	1
what are all my upcoming event in london today	1
java trainings on Monday	2
java related trainings on wednesday	0
d&i training in london From 17th April and 1st of May	1
my white paper From 17th April and 1st of May	2
my task today	0
java related competencie From 17th April and 1st of May	0
my event I am organizing on wednesday	1
UI event happening in chennai between 1st of May and 2nd of December	1
UI celebrations for this month	1
my conference in bangalore on 21st April	1
Hub training in london between 1st of May and 2nd of December	1
SCALA corporates I am speaking on next tuesday	1
d&i training in mumbai for this week	1
oracle architects	0
java related proposals for next month	2
apricots for this month	0
my project conferences I am speaking on this Saturday	1
SAP case studie	0
UI conferences in newyork on this Saturday	1
what are all the case studie	0
Hub celebrations I am speaking on Monday	1
list all my closed apricot on Monday	0
oracle trainings in Chennai on Monday	1
.net lessons learnts on Monday	0
list all my project corporates in mumbai on this Saturday	1
what are all the training on this Saturday	0
list all my upcoming training happening in chennai for next week	1
lessons learnt in ajax for next week	0
list all my tasks From 17th April and 1st of May	0
scala related competencie for this month	0
what are all my recommended workshops in newyork on Monday	1
UX workshops I am participating on Monday	1
Hub conferences in Chennai From 17th April and 1st of May	1
list all the case studie on Monday	0
what are all my upcoming training for this month	1
my case studies for this week	0
what are all my recommended workshop in newyork on Monday	1
d&i trainings in london for this month	1
java corporates in mumbai for next month	1
white paper available in scala on Monday	0
.net competencies on wednesday	0
java related course today	0
IBelong workshops I am participating for this month	1
.net expert with 5+ years of experience	0
what are all my recommended workshops in bangalore for this month	1
what are all my recommended event on 21st April	1
list all my recommended events in Chennai on Monday	1
case studies for next week	2
scala competencie on wednesday	0
android leads in scala	0
scala trainings for next month	2
list all my project issues for this week	0
SAP lessons learnts on this Saturday	0
d&i conference I am organizing between 1st of May and 2nd of December	1
training in ajax tomorrow	0
java trainings happening in chennai for next week	1
what are all my open issues today	0
lessons learnt in oracle on next tuesday	2
java related training on next tuesday	0
list all my project workshop I am organizing on wednesday	1
oracle courses for this month	0
UI corporates in bangalore on Monday	1
android analyst	0
ajax designers in scala	0
UX corporates I am speaking on 21st April	1
what are all the events I am speaking on thursday	1
UX training in newyork for this week	1
list all my project workshops happening in chennai for next week	1
list all my closed issues on this Saturday	0
case studie in ajax between 1st of May and 2nd of December	2
what are all the celebration I am organizing	1
my project celebrations for this month	1
competencie From 17th April and 1st of May	2
my competencie	0
list all my project issues tomorrow	0
java related best practice on next tuesday	2
list all my upcoming celebration I am organizing on thursday	1
java related trainings on 21st April	0
java related proposal on 21st April	0
java related white paper for next month	2
Hub events in Chennai on this Saturday	1
ajax experts with experience more than 3 years	0
UI conference happening in chennai on this Saturday	1
java trainings on next tuesday	0
my project celebration I am speaking	1
list all the architects with experience less than 10 years	0
list all my upcoming training I am participating on 21st April	1
UI events in Chennai on next tuesday	1
tasks on thursday	0
what are all my recommended corporate in newyork on Monday	1
list all my recommended conference in Chennai on wednesday	1
list all celebrations in bangalore tomorrow	1
my conference in Chennai on 21st April	1
what are all my initiated risks on next tuesday	0
competencies in oracle tomorrow	0
my project conferences in london between 1st of May and 2nd of December	1
java proposals on next tuesday	2
SCALA workshops in Chennai for next month	1
UX trainings in Chennai on wednesday	1
oracle competencies on next tuesday	0
list all corporate happening in chennai today	1
list all my project tasks on Monday	0
ajax courses on Monday	0
UI event in Chennai on this Saturday	1
java celebrations I am organizing on wednesday	1
UX lead in ajax	0
list all the best practice on Monday	2
scala related white papers on this Saturday	0
best practices in oracle between 1st of May and 2nd of December	0
d&i workshop in bangalore for next month	1
case studies published in java for next week	0
